일자,언론사,제목,통합 분류1,키워드,특성추출
1999-05-25,경향신문,-여적-'차(茶)의 날',문화-학술_문화재,"여적,중국,당나라,시대,문인,육우,다경,茶經,고전,효능,소개,갈증,두통,증세,감로,효과,조선시대,허준,효능,평가,소화,소변,화상,해독,동의보감,만병통치약,혼란,선인들,효능,가지,정리,머리,밥맛,해독,피로,가지,九德,음료,음료,역사,중국,신농씨,독초,고생,차잎,해독,역사,4,700여년,중국인들,신농씨,햇차,풍습,생명력,건강상,도교,유교,불교,수행,동반자,정신수양,방편,다도,茶道,다산,정약용,혜장스님,추사,김정희,초의선사간,우정,다도,교류,정신,마음,믿음,다인들,이달말,한옥마을,서울,남산,한옥,마을,잔치,모양,신라시대,중국,씨앗,다방,정도,성행,조선조,사찰,다문화,행사,현대병,효험,보고,관심,다행,하루,전통,다문화,한잔,심신","중국,다문화,서울,남산,불교,신농,신농씨,혜장,혜장스님,김정희,정약용,다인,다인들,생명력,이달말,건강상,현대병,다산,다경,조선조,조선시대,신라시대,동반자,茶經,선인들,만병통치약,햇차,중국인들,茶道,정신수양,중국인,한옥마을,동의보감,조선,신라,밥맛,허준,당나라,九德"
1999-05-26,부산일보,(부산미술 들여다보기) 작가의 개성엔 국적이 없다,문화-미술_건축,"작가,개성,국적,부산미술,작가,개성,국적,캡핑,CAPPING,국제현대미술가회,부산,시내,화랑,한국,일본,청년작가들,주축,결성,모임,부산,요코하마,부산,도쿄,부산,전시,개최,전시,중국작가들,참여,미국,브라질,작가들,가세,국제전,형태,부분적,지역,큐레이터,작가,선정,체계,조직,양상,아시아,현대,미술,성장,정체성,주제,세미,발제,토론,내년,상하이,전시,예정,모임,특징,결속력,철저,작가들,자발,참여,전제,개방,네트워크,전시,선명,주제,자유,분방,양식,작품들,공존,지역,국가별,작품,차별성,이질,양상,참여작가들,자연,교체,전시,의미,나라,현대,미술,동시대,양상,포괄적,진행형,미술흐름,표출,오늘날,정보,교류,문화,상호작용,시대,국제화,다원화,관념,어휘,현실,전시,다문화,주의,양상,지역미술,국제화,정체성,확보,생각,모범답안,지역,문화,특수,국제적,보편화,개별성,다양성,조화,일각,양식,차별,급변,미술흐름,집단,정체,설정,자체,자기방어적,시대착오적,시각,미술,본질적,개인,활동,작가,개성,국적,표현,전통성,수구적,세습,인위적,강요,상황,능동적,발현,문화교통,통로,차단,배타,시각,경계,스스로,모습,반추,반문,자세,이동석,미술평론가","부산,정체성,현대,한국,네트워크,작가들,미술흐름,큐레이터,아시아,국제화,다양성,자기방어적,개별성,캡핑,전통성,모범답안,시대착오적,국제전,이동석,결속력,청년작가들,일본,국제현대미술가회,시대착오,문화교통,진행형,상호작용,브라질,보편화,다원화,작품들,답안,미국,상하이"
1999-05-26,한겨레,지구촌 동포청년 연대 '킨'을 아십니까,국제-국제일반,"연대,지구촌,동포,청년,연대,퀴즈,대한민국,재외동포,조선족,중국동포,고려인,러시아,한인,재일조선적,在日朝鮮籍,입양아,미국,시민권자,재미동포,7월,시행,예정,재외동포,출입국,지위,재외동포법,정답,재외동포,범위,대한민국,국적,해외,영주권자,대한민국,국적,외국국적,취득,국적,포기,사람,직계비속,제한,핏줄,정서적,동포,수립,대한민국,정부,한반도,부모,재외동포,어린이날,서울,동숭동,마로니에공원,입양,비자캠페인,이색,행사,부모,나라,한국,비자,갱신,번씩,연고,일본,홍콩,등지,입양인들,처지,법개정,청원,행사,행사,입양인들,KIN,Korean,Inter-national,Network,기획,해외,동포,젊은이,시민,단체,활동가,직장인,50여명,젊은이,회원,활동,www.kin.or.kr,청년들,지구촌,동포,청년,자발,참여,협력,동포사회,평화,실현,인권,남북,평화,통일,연대운동,지구촌,공동체,연대,운동,목적,2월,창립,142개국,554만,해외동포,조선족,200만,고려인,무국,재일,동포,조선적,15만,입양,젊은이,20만,정부,재외,동포,범주,제외,러시아,중국,일본,외교,마찰,요즘,무국,재일,동포,입국,제한,철폐,운동,재일,조선,일제,시대,일본,대한민국,국적,취득,후손,무국,상태,일본,정부,허가서,발부,지구촌,국가,7개국,나라,조선적,모국,세계화,시대,민주주의,한국,사무국장,단체,배덕호,민족주의,배타적,보수적,자의적,비판,재외동포법,몰역사성,비판,캠페인,적극,다문화주의,기초,진보적,개방적,한국인,민간차원,상호,교류,교육,연대,통로,마련,활동,일환,2만,3만,유학생,거주,해외,동포,유학,입양,문화,정서,유사,지구촌,네크워크,진보,동포,청년,지구,연대,운동","지구촌,일본,대한민국,재외동포,해외동포,고려인,조선적,활동가,마로니에공원,러시아,한국,연대운동,무국,15만,중국,조선,입양인,배덕호,입양인들,허가서,서울,유학생,재외동포법,조선족"
1999-05-27,세계일보,(WT논평)원칙을 저버린 대외정책,국제-유럽_EU,"원칙,대외정책,러시아,외교관,미국,전술,전략,착각,코소보,난국,미국,외교,정책,전략,연구자,전략적,군사,능력,실패,주장,코소보,사태,미국,나토,인도주의,전쟁,시작,지역,초토,재앙적,난민문제,조성,일조,독재자,강화,코소보,전쟁,외교정책,안보,기본원칙,포기,목적,능력,유고슬라비아,다리,파괴,인도주의,행위,밀로셰비치,총잡이,고용,국가,지도자,암살,악인,암살,독재자,파멸,나라,전략,외교정책,도덕,행위,클린턴,행정부,위선,정치적,전쟁,미국,多元主義,다원주의,명목,비현실적,미국,多文化,다문화,국가,건설,계획,강요,번째,보스니아,전쟁,모델,세르비아인,크로아티아인,회교도들,가동,가능,다민족국가,강요,코소보,코소보,자치,세르비아인,알바니아,양쪽,포용,1919년,남부유럽,베르사유,조약,이래,남부,유럽,역사,사실,독재체제,지배,다민족,국가,지탱,유고슬라비아,대표,실례,민주화,체코슬로바키아,슬로바크인,독립,슬로바키아,건국,다민족,국가,실패,클린턴,블레어,영국,총리,지배,외교정책,구출,발칸반도,다민족,다문화,국가,생각,포기,외교정책,안정,평화,조성,정글,육식짐승들,사실,도움,정글,무정부적,국제체제,평화,안정,확보,특성,구조,행동,이해,체제,질서,순위들,인도주의,외교,정책,사회,복지,외교,정책,에이머스,펄머터,아메리칸,교수,譯註,韓永鐸,심의위원,Contact,towebmaster,segyetimes.co.krfor,information","외교정책,코소보,미국,다민족,인도주의,세르비아인,독재자,유고슬라비아,클린턴,다문화,블레어,남부유럽,에이머스,多元主義,多文化,towebmaster,심의위원,체코슬로바키아,슬로바크인,재앙적,회교도,韓永鐸,회교도들,난민문제,민주화,슬로바키아,국제체제,유럽,譯註,기본원칙"
1999-06-07,동아일보,50개국'젊은 피 수혈'국제도시로,지역-전북,"50개국,수혈,국제도시,50개국,수혈,국제도시,장수,신오이타,계획,리쓰메이칸,亞太,대학,내년,벳푸,일촌일품,운동,국제화,장수,신오이타,계획,노년층,오이타현,젊은이,계획,시작,계획,결실,대년,벳푸,한눈,언덕,벳푸시,쥬몬지바라,14만,부지,개국,출신,학생들,정원,절반,는리쓰메이칸,아시아태평양대학건립,교수,절반,외국인,채용,아시아태평양,국제도시,구상,언어,4명,학생,그룹,편성,토론,언어,수업,영어,일본어,진행,아시아태평양학부,설립,아시아태평양지역시스템론,국제,사회학,다문화,사회,아시아태평양,지역,세기,아시아태평양,시대,선도,어드바이저리,커미티,기업들,참여,학생들,장학금,인턴십,기회,졸업,취직,주선,79년,추진,일촌일품,국제,기준,확대,신오이타,계획,일환,개념,물건,지방,특색,북부,기술집약단지,남부,해양수산도시,벳푸,정보,산업,도시,자리,오이타,약효,자랑,벳푸,8온천,5분,반숙,계란,섭씨,우미지옥,50m이상,다쓰마키지옥,벳푸의지옥,오이타,김호성기자","벳푸,아시아태평양,국제도시,오이타,일촌일품,50개국,쥬몬지바라,벳푸시,아시아태평양지역시스템론,학생들,신오이타,아시아태평양학부,김호성,기술집약단지,일본어,커미티,기업들,해양수산도시,50m이상,우미지옥,인턴십,다쓰마키지옥,오이타현,亞太,김호성기자,아시아태평양대학건립,다문화,14만,장학금,는리쓰메이칸,사회학,노년층,외국인,리쓰메이칸,국제화,8온천,벳푸의지옥,4명,대년"
1999-06-07,중부매일,"섬,내륙문화 함께 지향해야 할 궁극적 목표찾아야",지역-제주,"내륙문화,지향,궁극,제주,충북문화예술,공동발전위,세미나,만남,문학,평론가,최영호,교수,주제,내륙,위치,충북,특수성,제주,문화,특성,비교,지역,문화발전방향,모색,제주,충북,지역문화예술교류,99제주,충북,행사,문화,예술,세미나,문화,예술,시작,16일,청주,예술,전당,일원,사진,5일,예술,청주,전당,행사,제주,충북,공동발전,지역,문화,예술,공동,발전,세미나,이날,문학,평론가,최영호,교수,해군사관학교,만남,해양,문화,내륙문화,상관관계,주제,관심,교수,울산,대곡리,6천,암각화,주목,암각화,바다동물,육지,동물,형상,바다,내륙,강가,동원,사람,공평,분배,원시,합리,동물,크기,배려,감식안,바다,육지,유형,생산물,바다,생명체들,내륙,문화,문화,설명,해양,내륙,관계론,이해,전체적,반성적,체계적,이해,가치,복원,완성,중요,강조,바다,내륙,생성,사람,서로간,문화,확인,차원,만남,서로,문화,성찰,지향,만남,이날,세미나,교수,김승환,충북대,다문화시대,문화,자본,문화,국가,주제발표,문무병제주민예총지회장,제주,무속,제주,문화,교수,김병택,제주대,제주,시인,시세계,바다,중심,교수,한원균,청주과학대,부재,훼손,공간,역사성,현기영,신경림,작품,고향,모티브,제목,주제발표들,이훈재","제주,충북,6천,청주,암각화,생산물,청주과학대,한원균,충북대,최영호,김승환,제주대,김병택,현기영,신경림,역사성,문무병"
1999-06-09,한겨레,오스트레일리아 이민 변천사,국제-유럽_EU,"변천사,오스트레일리아,이민,인종,다민족,다문화,사회,오스트레일리아,인종,용광로,표현,정부,영국,덩어리,좀도둑,아일랜드,정치범,유형수,이민,선단,시작,나라,200여년,목적,동기,인종들,기회,자리,인구,조사,1850만,인구,4분,400만,외국,출생자,오스트레일리아,이민,2차,대전,이민자들,81%,영국,아일랜드,뉴질랜드,남아공,캐나다,미국,영어,태생,백호주의,장벽,초반,동양인,증가,시작,인구,5%,차지,오스트레일리아,사이,이민자,8만,과거,14만,이민자들,통계청,자료,오스트레일리아,이민자,수용,인구,정체,2050년,감소,출산,건국,이래,최저,기록,여성,평균,자녀,조사,부정,인구,증가,오스트레일리아정부,확대,이민,정책,적극,실업률,인종,편견,기인,감정,저변,오스트레일리아,사회,시드니,배정,통신원","오스트레일리아,이민자,영국,정치범,유형수,아일랜드,이민자들,미국,캐나다,남아공,백호주의,실업률,200여년,좀도둑,400만,뉴질랜드,시드니,14만,다문화,인종들,동양인,8만,다민족,2차,1850만,출생자,통계청"
1999-06-09,문화일보,-특별기고- '인도네시아 總選' 참관기,국제-아시아,"특별기,인도네시아,總選,참관기,자원보유국,동남아시아,최대,자원,보유국,인도네시아,자유총선거,자유총선거,32년,수하르토,독재,정권,실질적,자유총선거,인도네시아,국민,국제사회,관심,인도네시아,금융위기,나라,수하르토,국제금융위기,개방화,극복,32년,1인,장기집권,연장,욕심,내부,결속력,강화,반개방화,정책,선택,국제사회,국가,신인,추락,직접적,국가경제,파탄,한계,국민,생존권,요구,폭동,유혈사태,결국,예상,수하르토정권,퇴진,계기,3개,야당,투표,직전,선언,하비,정권,수하르토정권,연장선상,한계,변화,국민,열망,자유총선거,실현,인도네시아,야당,1인,독재정권,그동안,성장,3개,정당,자유총선거,48개,정당,난립,메가와티,수카르노푸트리,투쟁민주당,PDIP,압두,와히드,국민각성당,PKB,아미엔,라이스,국민신탁당,PAN,야당,여당,골카르당,각축,야당,공동성명,투표,직전,공동,성명,정권교체,열망,국민,성원,보답,야당연합,선언,인도네시아,국민,여당,퇴진,정권교체,갈망,정부,등장,야당,선언,금년중,대통령,선출,야당후보,단일화,최대,집권,골카르당,야당정파,집권연장시,군부,지지향방,인도네시아정국,변수,동티모르,아치,지역,분리주의자들,독립,요구,자치,정부,요구,다종교,문화,종교문제,종족들,갈등,유혈충돌,확산,인도네시아,정국,안정,변수,전망,인도네시아,총선,자체,지식인층,포함,대다수,국민,평화,정권교체,민주주의,실현,관심,문맹률,1만,구성,영토,3백,종족,4백,언어,사용,다문화,다인종,다종교,4위,세계,인구,대국,2억,총선,사실,투표시간,8시,2시,6시간,허용,예정,투표시작,정시,거행,투표소,선거,진행,요원,교육,부족,지역,투명,감시,절대적,인원,부족,국제공동감시단원,진행,개표결과,야당연합,압승,전통적,골카르당,지지,세력,산간벽지,도서,지역,서민,투표결과,인도네시아,정국,앞날,민주주의,욕구,당장,민생문제,관심,경제사정,과거,독재,정권하,평생,전통적,골카르당,지지결과,변화,중요성,인식,계층,3주,총선,최종결과,변화,개혁,갈망,지역,주민,국민,중산층,인도네시아,개혁정당들,승리,선거결과,부정,국민저항운동,결과,인도네시아,정국,혼미,예상,투표율,91%,민주,열망,분출,44년,실질적,자유총선거,91%,유권자,참여,거행,인도네시아,국민,민주주의,열망,단적,투표율,야당,국민,부응,연립정부,단일,개혁,연립,정부,구성,정권,창출,당면,경제위기,극복,국민,통합,다양성,포용,민주주,실현,가능,확신,총선,참관,인도네시아,앞날,확인,기회,김상우,국민회의,국회의원","인도네시아,골카르당,3개,자유총선거,수하르토,민주주의,다종교,정권교체,1인,앞날,동남아시아,투표율,국제사회,야당연합,독재정권,수하르토정권,중산층,압두,민주당,국민회의,아미엔,국민각,와히드"
1999-06-18,경인일보,"교육,문화도시로 힘찬 발걸음",지역-대전,"교육,문화도시,발걸음,교육,문화도시,발걸음,朴榮舜,구리시장,市政1,100개업,쳬참여,하루,처리,완공,하수,슬러지,소각로,인창동,서울,신내동,도시,계획도,확정,지원,청소년체육광장,조성,출발,구리,시정방침,민선,자치,朴榮舜,시장,시장,21세기,전국,최고,교육,문화도시,시민,시정,여념,7월,취임,시장,시점성과,지역경제활성화,실업자,중소기업,지원,종합,대책,수립,공긍근로사업,참여,1백,48억,지원,강화,근교,농업,경쟁력,5억,투입,지혁,명산물,덕골배,육성,농가,소득,증대,기여,중소기업,50억,중71육성,자금블,지원,업체,태표,회원,참여,구리시경제인협의희,참립,지역경제발전,초석,환경,인간심,도시건설,구리,제2읕,추진,실시설계용역,장자못,수질,개선,사업,설계,용역,발주,시내,철쭉,그루,개나리,그루,장미,그루,도시녹화사업,대대적,지방자치난체,민자,한솔제지,유치,처근,하수,슬러지,소각로,완공,생활쓰레기,제활용,5백,가구,공동,주택,음식물,쓰레기,수거,사료화,지역,균형,발전,도시기반구축,지역주민간,치열,유치경쟁,중앙선,복선,전철,구리,역새,위치,중재,계획,LG,백화점,뒤편,확적,천호대교,사가정로,토평동,암사동간,도로,공사,왕숙친,제방,도로,계획,추진,사통팔달,교통망,구축,천망,인창동,서울,신내동,연결햐,미집행,도시계획도,노력,확정,완공,예정,도로,철도폐선,이용,5백억,예신,절감,고가설치,토지보상비,복지즘진,불우가정,자녀,딤0명,5억,2백,학비,장학금,지급,40명,상하수,관리,사업소,직원,사희복지시설,생활,보호,대상자,가정,전기,기계,삼수도,안전확인,정비작업,장애인,긷천6,생계비,지원,수택동,27어,투입,장애인재,활복치관읔,착곳,시미,보건,인창동,신축중,문화처l육진홍,시장,문화쳬육도시건설,열정,지단,창단,한구리,시민,교향악단,적극,지원,4차례,연주희블개최,시민화,정서함양,기여,배주,금요일,시청,무료,영화,상영,발굴조사,아차산,보루섬,발굴,조사,1백,고구려,유물,출토,학계,관심몰,전국,최강,팀워크,자랑,구리시리틀야구단,야구육성,지역화합,차원,지밤자치단체,구리시장기,전국리틀,야구,대회,주관,19일,개최,청소년,건전,육섬,전국,종합계획,청소년,건전,육성,종합,계획,주도,청소년지원위원회,구성,관내,고교,관내,고교,청소년,인사,대상,청소년,상담,기법,초청강연,청소년들,놀이마당,확충,수택동,인창동,청소년체육꽝장,조성,구리시,시민,전국,최고,교육,문화도시건설,지역발전,기틀,각종,시책,추진,사진,구리시청사,전경,12월,창단연주회,개최,이수,비약,발전,구리시민오케스트라,신년음악회,九里,金奎植,siggle,kyeongin.com","구리,인창동,소각로,중소기업,뒤편,아차산,착곳,1백,장자못,왕숙친,5억,경쟁력,朴榮舜,신내동,수택동,구리시장기,인간심,이수,도시계획도,계획도,발걸음"
1999-06-19,전남일보,뱃길따라 영산강 탐사 '바다문화학교' 수강생,지역-부산,"뱃길,바다문화학교,영산강,탐사,바다,문화,학교,수강생,60여명,국립,해양,유물,전시관,바다,문화,학교,학생,유람선,뱃길,영산강,역사,문화탐사,나불,영암군,삼호면,유람선,선착장,함평,사포다리,60여km,탐사대,목포대,고석규,역사문화학부,교수,향토사학,윤여정씨,강사,참석,영산강,유래,지명,역사유적,해양유물전시관,한차례,수강,모집,바다문화학교,운영,개강,종강","영산강,바다문화학교,유람선,수강생,해양유물전시관,전시관,삼호면,영암군,60여km,윤여정씨,탐사대,사포다리,목포대,윤여정,향토사학,함평,고석규,선착장,한차례,역사문화학부,역사유적,나불,60여명,뱃길,문화탐사,역사,문화,탐사,국립,학생,학교,바다,개강,해양,사학"
1999-07-03,동아일보,동정,사회-여성,"동정,동정,정상구,鄭相九,한국다도,茶道,협회장,부산여자대학,다촌,문화관,제3회,시상식,다촌,다문화,정진원,鄭鎭元,고운빛여성합창단장,반서울,음악당,서초동,예술의전당,정기,연주회,안무혁,安武赫,한국발전연구원이사장,개원9주년,오키드룸,서울,인터컨티넨탈호텔,오키드,이한우씨,방송인,초청,한국,한국인,주제,조찬강연회,김병수,金炳洙,연세대총장,3일,오전10시,연세대중앙도서관,귀중본,열람실,루스벨트국제센터,루스벨트도서실,개소식,최봉인,崔峰寅,재경광주전남향우회장,재경목포중고,동창회장,서울,소공동,롯데호텔,한마음모임,목포중고,동문,한마음,모임","다촌,서울,연세대중앙도서관,목포중고,예술의전당,인터컨티넨탈호텔,한마음,정상구,김병수,강연회,조찬강연회,한국인,개소식,최봉인,도서실,金炳洙,崔峰寅,한국,한국발전연구원이사장,安武赫,연세대총장,루스벨트,안무혁,재경광주전남향우회장,한국발전연구원,루스벨트도서실,연세대,연주회,鄭相九,재경광주전남향우,방송인,이사장,루스벨트국제센터,고운빛여성합창단장,고운빛,한국다도"
1999-07-06,동아일보,佛TV 인종차별 조장 인권단체 소송 착수,국제-유럽_EU,"TV,인종,차별,조장,착수,인권,단체,소송,TV,인종,차별,조장,착수,인권,단체,소송,범죄자,배역,흑인,黑人,앵커,사회자,프랑스,프랑스,인구,흑인,유색인,10%,700만,프랑스,TV채널,프로그램,나시사,교양,프랑스인,사실,백인,전유물,프랑스,반인종차별단체,집단,평등,TF1,TV방송,사장들,상대,인종차별,소송,착수,프랑스,TV,방송,흑인,프랑스,소수,인종,차별,조장,흑인공동체,도덕,편견,주장,집단평등,TV,일정,비율,흑인,출연,TV쿼터제,요구,집단,평등,대표,흑인,작가,칼릭스,베얄,프랑스,대표적,다문화,다인종,사회,TV,이미지,흑인,불평,TV시리즈물,영화,등장,흑인들,살인,마약,밀매,절도,범죄자,배역,유로비전,콘테스트,프랑스,흑인대표,출전,우르쉴리,모델,가수,조엘,프랑스인들,영국,프랑스,인종차별,영국,TV,흑인앵커,사회자,지적,프랑스,TV,프로듀서,프랑스어,외국,사람,악센트,완벽,구사,흑인,사회자,기용,변명,영국,타임스지,흑인,사회자,프랑스TV,프랑스,인종,편견,차별,사회,본보기,지적,파리,김세원특파원","프랑스,tv,영국,사회자,프랑스인,인종차별,조엘,유로비전,베얄,다문화,우르쉴리,범죄자,김세원,프랑스어,사장들,집단평등,나시사,다인종,시리즈물,칼릭스,흑인들,유색인,700만"
1999-07-12,세계일보,(설왕설래)이민자 수난시대,국제-미국_북미,"이민자,수난,시대,多文化主義,다문화주의,신봉자,교수,뉴욕시립대,제프리스,백인우월주의,비판,사람,멜라닌,색소,결정,멜라닌,색소,논리,흑인,히스패닉계,아시아계,유태인,미국인,유럽,선악,정도,결정,다문화주의자들,주장,동조,미국,인종들,다문화,국가,이민자들,천국,기회,미국,이민,이민자들,제약,강화,백인우월주의,광신,백인,우월주의,고개,백인청년,유색,겨냥,총격,사건,한국인,유학,포함,2명,사망,10명,부상,사건,유태인,흑인,아시아인,소수민족,피해자,범인,백인,우월주의,신봉,창조주,세계교회,신도,교회,인터넷사이트,백인,자연,우수,창조물,인종,팽창,발전,목적,정신병,왜곡,우월주의,미국,편견,증오,그룹,KKK,클럭스,클랜,크리스천,아이덴티티,신나치,그룹,스킨,헤드,4백,단체,파악,미국,언론,로원,미국내,인종전쟁,인종간,갈등,증오범죄,경고,국가기관,인종,차별,폭력,뉴욕,경찰,소수민족계,가혹,무장,흑인,총탄,비난,세기전,이민자,당도,뉴욕항구,자유,여신상,상징,느낌","미국,이민자,다문화,우월주의,백인우월주의,뉴욕,유태인,한국인,뉴욕시립대,제프리스,아시아인,이민자들,클럭스,클랜,여신상,신도,2명,세계교회,인터넷사이트,4백,유럽,창조주,아시아계,정신병,세기전,히스패닉,多文化主義,신나치,소수민족계,로원,피해자,신봉자,미국인,아시아,국가기관,뉴욕항구,증오범죄"
1999-07-16,충청투데이,올 피서,문화-학술_문화재,"피서,마련,문화재,탐방,문화재청,방학,프로,문화재청,여름방학,청소년들,문화재,이해,프로그램,마련,경복궁,5대궁,19일,다음달,마련,고궁,청소,년문화학교,궁궐,역사,건축,유물,현장설명,국립문화재연구소,설립,주년,기념,어린이,여름,문화재학교,경북,안동,개최,행사,하회마을,고가,古家,마을구조,도산서원,선생,퇴계,이황,현장,탐방,위주,목포,국립,양유물전시관,세계,각국,수집,특별전,세계,모형배,어린,바다문화학교,마련,서울,궁중,유물,전시관,일반인,궁중문화,특별,강좌,金龍連","문화재,문화재청,궁중문화,어린,퇴계,다음달,이황,서울,모형배,전시관,하회마을,古家,마을구조,金龍連,안동,년문화학교,경북,주년,도산서원,5대궁,바다문화학교,문화재학교,일반인,국립문화재연구소,각국,경복궁,청소년들,연구소,특별전,양유물전시관,목포,현장설명,여름방학,마련"
1999-07-31,매일신문,"포항,울산서 여름문학축제",지역-경남,"포항,울산,여름문학축제,파도,포항,울산,동해바다,산업도시,여름문학행사,8월,여름,시인학교,15일,울기공원,울산,방어진,현대예술관,한마음회관,동시,바다문학제,울산,바다,문학제,포항지역,시인들,모임,푸른시,동인,주관,문협,포항,지부,포항문예아카데미,후원,여름,시인학교,포항지역,여름,시인,학교,대학생,일반인,대상,프로그램,시인,이하석,초청,시인,대화,시낭송회,백일장,여름,생각,프로그램,마련,울산바다문학제,추진위원장,최일성,화합,물결,주제,문화,축제,바다문학제,김종길,성춘복,이태수,이성선,이동순,송재학,정채봉,김광림,한승원,문충성,김정란,하일지,전국,문인,울산,지역,문인,100여명,문인,참가,행사,문화,미술,만남전,재막,울산학춤,공연,전통다,시연회,시작,이날,울기공원,초중고생,일반,인울,대상,울산,바다,백일장,대상,수상자,해양수산부장관상,문학,시작,14일,수필교실,시조교실,초청강연회,시인,이동순,초청,강연회,동화,작가,정채봉,동화특강,차례,야외특설무대,울기공원,야외,특설,무대,99울,바다문화,15일,소설가,시인,김정란,극작가,김광림,평론가,박태일,문학정담,소설가,한승원,바다,소설,이야기,마당,울산,바다,문학제,추진,위원회,산업,도시,울산,이미지,탈피,문화도시,면모틀,마련,문학축제,2002년,울산,바다,문학제,세계문학축제,확대,계획","울산,울기공원,문학제,포항,김정란,이동순,소설가,정채봉,김광림,울산바다문학제,한승원,백일장,산업도시,바다문학제,평론가,이틀간,문협,김종길,죽북분교,방어진,포항지역,울산학춤,재막,한마음,전통다"
1999-07-31,중앙일보,흑인여성 패트리셔 재닛 영국 내각 최초 입성,국제-유럽_EU,"내각,흑인,여성,패트리셔,재닛,영국,입성,사상,영국,내각,흑인,여성,차관,탄생,총리,토니,블레어,영국,단행,인사,외무차관,임명,패트리셔,재닛,주인공,도미니카,출신,재닛,인종평등위원회,활동,여남작,스코틀랜드,종신귀족,칭호,상원의원,영국,상원,3명,흑인의원,재닛,11명,남매,영국,이민,학교,선생,슈퍼마켓,점원,보수적,영국,사회,흑인여성,런던대,입학,법학,공부,대학시절,현실,직시,성공,의문,교수,의지,향학열,결국,실력,흑인,여성,영국여왕,법정,변호인단,임명,4월,인종차별주의자들,살해협박편지,앞날,블레어,총리,재닛,기용,영국,정가,모험,분위기,21세기,다인종,다문화,포용정책,정치적,실천,94년,밀레니엄위원,재닛,마휘니,남편,리처드,아들","영국,재닛,흑인여성,블레어,패트리셔,리처드,스코틀랜드,영국여왕,토니,포용정책,다문화,다인종,대학시절,향학열,21세기,살해협박편지,밀레니엄위원,슈퍼마켓,주의자,위원회,종신귀족,외무차관,도미니카,여남작,인종차별주의자들,마휘니,상원의원,앞날,변호인단,런던대,3명"
